"Violation ID","Primary Building Identifier","Primary Boro Identifier","Primary Borough Name","Primary House Number","Primary Low House Number","Primary High House Number","Primary Street Name","Primary Postcode","Development Name","TDS Number","Stairhall Number","NYCHA Address Section BoroID","NYCHA Address Section Borough","NYCHA Address Section House Number","NYCHA Address Section Street Name","NYCHA Address Section PostCode","Apartment","Story","Block","Lot","Violation Description","Class","Inspection Date","Approved Date","Order Number","Issued in Error","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"18682299","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT WEST WALL AND CEILING  IN THE  1st ROOM  FROM NORTH AT EAST LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","B","03/03/2026","03/03/2026","583","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18682300","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING  IN THE  BATHROOM  LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","C","03/03/2026","03/03/2026","508","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18682301","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING  IN THE  KITCHEN  LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","B","03/03/2026","03/03/2026","508","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18682303","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND EAST WALL  IN THE  3rd ROOM  FROM NORTH LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","B","03/03/2026","03/03/2026","508","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18682304","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING AND EAST WALL  IN THE  3rd ROOM  FROM NORTH LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","B","03/03/2026","03/03/2026","583","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18682305","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2045(B)(1)(B) HMC, § 12-06, § 12-07, § 12-09 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES MISSING  IN THE  ENTIRE APARTMENT  LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","B","03/03/2026","03/03/2026","1503","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18682306","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2045(B)(1)(A) HMC, § 12-01, § 12-03 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL SMOKE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH DEPARTMENT OF BUILDINGS RULES AND REGULATIONS  MISSING  IN THE  ENTIRE APARTMENT  LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","B","03/03/2026","03/03/2026","702","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18671738","804001","1","MANHATTAN","1299","1299","1311","AMSTERDAM AVENUE","10027","GRANT","87","7","1","MANHATTAN","1305","AMSTERDAM AVENUE","10027","7H","7","01964","0001","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2)          SOUTH WALL IN THE  KITCHEN  LOCATED AT APT 7H, 7th STORY, 1st APARTMENT FROM WEST AT NORTH","C","02/24/2026","02/24/2026","616","N","40.811919","-73.957318","109","7","1084095","1019640001","20901","MN0901"
"18671739","804001","1","MANHATTAN","1299","1299","1311","AMSTERDAM AVENUE","10027","GRANT","87","7","1","MANHATTAN","1305","AMSTERDAM AVENUE","10027","7H","7","01964","0001","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2)          SOUTH WALL IN THE  1st ROOM  FROM NORTH AT WEST LOCATED AT APT 7H, 7th STORY, 1st APARTMENT FROM WEST AT NORTH","C","02/24/2026","02/24/2026","616","N","40.811919","-73.957318","109","7","1084095","1019640001","20901","MN0901"
"18682307","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 0, WG TO REPLACE = 0, WG TO REPAIR = 2  IN THE  ENTIRE APARTMENT  LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","C","03/03/2026","03/03/2026","790","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
